id,machine_id,inventory_number,number_machine,year_of_commissioning,rated_capacity,costs_at_rate,dizmaslo,diametr_wheel_pairs,date_ost_kr,initial_value,residual_value,depreciation_end_date,breakage,breakage_date,breakage_info,brigade_id
58,3,6470412000252,253,1978-01-01,276.0,23.6,2.0,950.0,2002-04-19,6886780.0,4689131.06,2020-11-30,False,2000-01-01,,5
59,3,6470412000255,392,1984-06-01,,22.4,0.0,950.0,2010-01-29,6886780.0,4699031.9,2020-11-30,False,2000-01-01,,5
60,3,6470412000270,471,1987-02-27,,22.4,0.0,950.0,2010-06-30,6886780.0,4699031.9,2020-11-30,False,2000-01-01,".
UPDATE: Машина була починена 2020-03-19",5
61,15,6470412000238,29,1987-12-12,176.0,12.3,2.0,710.0,2011-02-28,591002.0,407651.43,2020-11-30,False,2000-01-01,,2
62,15,6470412000239,48,1989-06-01,176.0,11.5,2.0,710.0,2013-09-09,709203.0,477518.78,2021-11-30,False,2000-01-01,,6
63,14,6470412000273,7,2009-09-01,32.0,7.0,2.0,950.0,,3248424.0,2468789.96,2030-11-30,False,2020-03-11,"Закончился бензин.
UPDATE: Машина була починена 2020-03-19",6
64,14,6470412000275,8,2010-12-30,32.0,7.0,2.0,950.0,,3464985.0,2655955.98,2031-11-30,True,2020-03-27,wheel,6
65,13,6470412000309,38,1990-10-01,200.0,14.7,2.0,1050.0,2012-05-21,1882531.0,871684.86,2018-11-30,True,2020-03-04,Відвалилось колесо,6
66,11,6470412000279,19,2003-10-30,255.0,16.1,1.5,950.0,,6290743.0,5266467.0,2029-11-30,False,2000-01-01,,6
67,11,6470412000285,20,2003-11-30,255.0,16.1,1.5,950.0,,6290743.0,5267716.7,2029-11-30,False,2000-01-01,,6
68,11,6470412000280,27,2003-11-30,294.0,17.3,3.0,950.0,,6290743.0,5263874.52,2029-11-30,False,2000-01-01,,6
69,11,6470412000286,28,2003-11-30,294.0,17.3,3.0,950.0,,6290743.0,5263874.52,2029-11-30,False,2000-01-01,,6
70,11,6470412000281,43,2004-10-30,294.0,17.3,3.0,950.0,,6740082.0,5708827.32,2030-11-30,False,2020-03-27,"kek
UPDATE: Машина була починена 2020-04-04",6
71,11,6470412000283,44,2004-10-30,294.0,17.3,3.0,950.0,,6740082.0,5708827.32,2030-11-30,False,2020-03-27,"
UPDATE: Машина була починена 2020-04-04",6
72,11,6470412000282,45,2004-10-30,255.0,16.1,1.5,950.0,,6740082.0,5710300.8,2030-11-30,False,2000-01-01,,6
73,11,6470412000284,46,2004-10-30,255.0,16.1,1.5,950.0,,6740082.0,5710300.8,2030-11-30,False,2020-03-27,"KEK
UPDATE: Машина була починена 2020-04-04",6
74,12,6470412000288,110,2008-04-30,255.0,15.8,1.5,950.0,,9630161.38,6109892.12,2033-04-01,False,2020-03-10,"Сломалось колесо.
UPDATE: Машина була починена 2020-03-19",6
75,11,6470412000287,111,2008-04-30,255.0,15.8,1.5,950.0,,8433474.66,5352833.7,2033-04-01,False,2000-01-01,,6
76,10,6470412000278,3,2003-02-06,176.0,19.9,2.0,950.0,,6988575.0,6122673.99,2029-11-30,False,2000-01-01,,2
77,9,6470410000223,1583,1991-01-08,100.0,11.0,2.5,950.0,,133611.0,31929.73,2017-11-30,False,2000-01-01,,2
78,8,6470412000266,22,1991-04-19,,0.0,0.0,,,814221.0,594548.33,2021-11-30,False,2000-01-01,,2
79,8,6470412000276,25,1991-01-08,,0.0,0.0,,,812060.0,593063.59,2021-11-30,False,2000-01-01,,2
80,7,6470412000274,174,1986-01-06,,0.0,0.0,,,851675.0,18000.0,2015-12-31,False,2000-01-01,,2
81,6,6470412000293,16,2005-05-28,243.0,,,,,78250.0,78250.0,2021-04-30,False,2000-01-01,,2
82,3,6470412000245,126,1973-01-06,,0.0,0.0,,,6886780.0,886780.0,2020-11-30,False,2000-01-01,,2
83,5,6470412000267,148,1978-06-04,,0.0,0.0,,,6886780.0,4702903.79,2020-11-30,False,2000-01-01,,2
84,5,6470412000271,193,1995-01-01,,0.0,0.0,,,1377356.0,20000.0,2015-12-31,False,2000-01-01,,2
85,4,302776,15,2008-12-28,,0.0,0.0,,,9500161.45,5473646.79,2028-12-01,False,2000-01-01,,2
86,3,6470412000265,324,1981-06-04,,,,,,6886780.0,4686037.25,2020-11-30,False,,,2
